,acousticness,album_popularity,artist_followers,artist_popularity,bb_appear,danceability,days_since_release,duration,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_popularity,valence,weeks
99,0.00102,,129451.0,59.0,0,0.763,375,279675.0,0.35,0,0.0208,3,0.138,-13.495,0,0.206,173.80200000000005,4,41.0,0.649,0.0
100,0.00389,69.0,910139.0,71.0,1,0.4320000000000001,444,271533.0,0.9470000000000001,0,0.711,2,0.0777,-5.442,1,0.0945,147.97,4,59.0,0.382,1.0
101,0.0035399999999999997,67.0,828439.0,70.0,0,0.6609999999999999,409,247970.0,0.8370000000000001,0,0.000933,1,0.331,-5.974,1,0.0627,121.01100000000001,4,48.0,0.835,0.0
102,0.14,76.0,410673.0,0.0,0,0.645,843,138066.0,0.6859999999999999,0,0.0095,0,0.365,-7.242000000000001,1,0.0442,132.563,4,4.0,0.65,0.0
103,0.0015199999999999999,76.0,2054532.0,77.0,1,0.271,1172,274133.0,0.903,1,1.4999999999999999e-05,6,0.18899999999999997,-4.516,0,0.13699999999999998,147.159,4,63.0,0.22,1.0
104,0.00318,62.0,220751.0,61.0,0,0.431,486,266760.0,0.8059999999999999,0,0.45,1,0.124,-6.852,0,0.0384,127.854,4,44.0,0.171,0.0
105,0.701,75.0,2605011.0,81.0,0,0.331,1004,386080.0,0.6,0,0.213,6,0.0818,-10.044,1,0.0684,121.069,4,50.0,0.0393,0.0
106,0.107,,209351.0,59.0,0,0.66,1429,225466.0,0.915,1,0.0,11,0.13699999999999998,-4.702,1,0.246,85.90100000000002,4,30.0,0.535,0.0
107,0.0168,26.0,3658.0,24.0,0,0.316,1286,168612.0,0.735,0,1.21e-05,1,0.19699999999999998,-3.878,1,0.0518,81.508,4,8.0,0.14300000000000002,0.0
108,0.19399999999999998,88.0,10576315.0,89.0,0,0.565,1291,236733.0,0.4370000000000001,0,7.14e-06,6,0.0656,-7.68,0,0.0403,96.132,3,68.0,0.217,0.0
109,0.645,57.0,41544.0,51.0,0,0.337,794,255920.0,0.738,0,2.3199999999999998e-05,0,0.212,-6.57,1,0.109,88.1,4,35.0,0.613,0.0
110,0.0034100000000000003,69.0,433809.0,66.0,0,0.502,458,440733.0,0.956,0,0.414,11,0.0848,-4.823,1,0.0705,137.64600000000002,4,51.0,0.627,0.0
111,0.232,,1662417.0,74.0,0,0.46,1047,305466.0,0.723,1,0.0,1,0.5539999999999999,-7.822999999999999,1,0.7659999999999999,85.914,4,31.0,0.542,0.0
112,0.643,76.0,14136538.0,94.0,1,0.379,1123,258000.0,0.513,0,3.24e-05,1,0.069,-7.724,0,0.0492,142.067,4,53.0,0.10800000000000001,2.0
113,0.0411,72.0,6908109.0,85.0,0,0.584,199,212093.0,0.835,1,0.0147,9,0.19899999999999998,-4.3260000000000005,0,0.0297,142.2,4,62.0,0.7809999999999999,0.0
114,0.457,,1528839.0,79.0,0,0.597,690,209050.0,0.645,1,0.0,0,0.11,-5.356,0,0.0588,128.25799999999998,4,57.0,0.55,0.0
115,0.00732,,637181.0,70.0,0,0.615,1383,281586.0,0.893,0,5.09e-05,7,0.298,-3.012,1,0.0868,171.872,4,47.0,0.759,0.0
116,0.0282,,1352898.0,69.0,0,0.446,690,264080.0,0.945,0,0.0,0,0.0746,-4.07,1,0.095,159.959,4,50.0,0.361,0.0
117,0.332,69.0,4686994.0,84.0,1,0.486,1302,289546.0,0.392,0,0.17600000000000002,0,0.0773,-11.155,1,0.03,136.00799999999998,4,51.0,0.0664,2.0
118,0.00445,69.0,163127.0,66.0,0,0.4370000000000001,1230,252560.0,0.9540000000000001,0,0.0,0,0.0389,-6.102,1,0.165,155.105,4,40.0,0.376,0.0
119,0.484,78.0,1435068.0,79.0,1,0.637,276,214720.0,0.8640000000000001,0,0.0,8,0.222,-4.381,1,0.0468,99.995,4,73.0,0.706,20.0
120,0.000144,64.0,4569093.0,79.0,1,0.517,276,216586.0,0.823,0,2.86e-06,8,0.19699999999999998,-3.4419999999999997,1,0.0437,122.03,4,56.0,0.6809999999999999,3.0
121,0.000148,60.0,775956.0,65.0,0,0.521,1165,259066.0,0.865,0,0.00072,5,0.0681,-6.2379999999999995,0,0.0435,118.01,4,37.0,0.415,0.0
122,0.882,78.0,1435068.0,79.0,0,0.662,276,200066.0,0.384,0,6.38e-05,2,0.122,-6.1979999999999995,1,0.0288,120.117,4,54.0,0.18600000000000005,0.0
123,0.0175,,6.0,60.0,0,0.58,64,232453.0,0.555,0,0.96,0,0.106,-8.562999999999999,1,0.0279,127.995,4,43.0,0.0785,0.0
124,0.00655,,3678078.0,85.0,0,0.5,731,202985.0,0.958,0,0.0,7,0.32299999999999995,-3.694,1,0.0849,180.076,4,53.0,0.5579999999999999,0.0
125,0.00011999999999999999,61.0,413406.0,62.0,0,0.45299999999999996,605,388200.0,0.971,0,0.0492,8,0.114,-6.254,1,0.14,118.06700000000001,4,47.0,0.0904,0.0
126,0.0332,78.0,555089.0,74.0,0,0.475,38,270760.0,0.887,0,0.0312,5,0.106,-3.14,1,0.0488,90.973,4,63.0,0.696,0.0
127,0.22699999999999998,75.0,2605012.0,81.0,1,0.735,1004,283840.0,0.519,1,0.0159,5,0.0842,-7.516,1,0.0243,104.99700000000001,4,57.0,0.57,1.0
